pedido_id,data_pedido,cliente_id,produto_id,quantidade,preco_unitario,valor_total,canal_venda,vendedor,estado_entrega
PV003918,2024-08-02,C0082,P017,131,3.19,417.89,Televendas,Felipe Santos,AM
PV006806,2024-08-02,C0157,P014,60,3.89,233.4,Televendas,Ana Souza,CE
PV006980,2024-08-02,C0068,P011,92,15.97,1469.24,E-commerce B2B,Felipe Santos,CE
PV001296,2024-08-02,C0106,P015,5,5.52,27.6,E-commerce B2B,Felipe Santos,PA
PV002944,2024-08-02,C0060,P005,67,3.99,267.33,E-commerce B2B,Carlos Silva,AL
PV002378,2024-08-02,C0056,P014,119,3.87,460.53,Televendas,Felipe Santos,MG
PV003839,2024-08-02,C0110,P008,156,9.56,1491.36,Key Account,Felipe Santos,CE
PV000907,2024-08-02,C0070,P001,129,23.07,2976.03,Representante Comercial,Felipe Santos,BA
PV004790,2024-08-02,C0156,P017,49,3.16,154.84,Key Account,Carlos Silva,RS
PV006819,2024-08-03,C0062,P003,163,7.59,1237.17,Televendas,Carlos Silva,AL
PV001526,2024-08-03,C0062,P003,12,7.56,90.72,Televendas,Eduarda Melo,AL
PV006083,2024-08-03,C0131,P002,133,8.52,1133.16,E-commerce B2B,Daniela Rocha,SC
PV006101,2024-08-03,C0134,P017,110,3.19,350.9,Representante Comercial,Eduarda Melo,MG
PV004584,2024-08-03,C0072,P012,158,13.75,2172.5,Key Account,Bruno Lima,BA
PV007053,2024-08-03,C0046,P014,142,4.02,570.84,Key Account,Carlos Silva,AM
PV000647,2024-08-03,C0139,P013,65,5.19,337.35,Key Account,Daniela Rocha,MT
PV003051,2024-08-03,C0163,P012,9,14.17,127.53,Key Account,Eduarda Melo,AM
PV003942,2024-08-03,C0151,P014,161,3.77,606.97,Representante Comercial,Daniela Rocha,CE
PV000765,2024-08-03,C0067,P004,75,8.21,615.75,E-commerce B2B,Eduarda Melo,AM
PV005504,2024-08-03,C0049,P004,96,8.23,790.08,E-commerce B2B,Felipe Santos,CE
PV005820,2024-08-04,C0157,P016,173,6.41,1108.93,E-commerce B2B,Felipe Santos,CE
PV005166,2024-08-04,C0019,P001,179,23.42,4192.18,Key Account,Eduarda Melo,BA
PV003544,2024-08-04,C0067,P003,132,8.04,1061.28,Key Account,Eduarda Melo,AM
PV003865,2024-08-04,C0007,P014,122,3.88,473.36,E-commerce B2B,Ana Souza,DF
PV004000,2024-08-04,C0074,P013,44,4.82,212.08,E-commerce B2B,Eduarda Melo,AM
PV003600,2024-08-04,C0088,P002,9,8.66,77.94,E-commerce B2B,Eduarda Melo,MG
PV006762,2024-08-04,C0114,P018,35,2.93,102.55,E-commerce B2B,Eduarda Melo,BA
PV000479,2024-08-04,C0094,P016,65,7.11,462.15,Televendas,Ana Souza,RS
PV007153,2024-08-04,C0126,P016,179,7.17,1283.43,Key Account,Eduarda Melo,RJ
PV001749,2024-08-04,C0100,P004,66,7.94,524.04,Key Account,Ana Souza,SP
PV005037,2024-08-05,C0131,P013,16,4.75,76.0,Televendas,Carlos Silva,SC
PV000557,2024-08-05,C0096,P002,53,9.05,479.65,Representante Comercial,Felipe Santos,SP
PV004086,2024-08-05,C0162,P004,17,8.49,144.33,E-commerce B2B,Bruno Lima,DF
PV006675,2024-08-05,C0069,P008,143,10.41,1488.63,E-commerce B2B,Daniela Rocha,MG
PV001515,2024-08-05,C0017,P001,38,23.09,877.42,Key Account,Felipe Santos,RS
PV005695,2024-08-05,C0103,P008,92,9.9,910.8,Key Account,Carlos Silva,PA
PV002547,2024-08-05,C0137,P004,127,8.63,1096.01,Televendas,Ana Souza,MT
PV003481,2024-08-05,C0168,P003,116,8.04,932.64,Representante Comercial,Eduarda Melo,PA
PV000894,2024-08-05,C0101,P009,135,5.07,684.45,Televendas,Ana Souza,AM
PV005890,2024-08-05,C0131,P012,144,14.45,2080.8,Key Account,Bruno Lima,SC
PV004824,2024-08-06,C0146,P013,17,5.18,88.06,E-commerce B2B,Eduarda Melo,RJ
PV005856,2024-08-06,C0001,P015,19,5.9,112.1,Televendas,Ana Souza,RJ
PV003439,2024-08-06,C0117,P010,51,5.04,257.04,Representante Comercial,Carlos Silva,SP
PV005827,2024-08-06,C0153,P005,100,4.06,406.0,Televendas,Daniela Rocha,AM
PV004860,2024-08-06,C0130,P017,96,3.11,298.56,E-commerce B2B,Daniela Rocha,PA
PV004028,2024-08-06,C0062,P012,49,13.96,684.04,E-commerce B2B,Carlos Silva,AL
PV007156,2024-08-06,C0116,P017,31,3.18,98.58,E-commerce B2B,Felipe Santos,GO
PV000418,2024-08-06,C0108,P002,174,9.25,1609.5,Key Account,Daniela Rocha,SP
PV002856,2024-08-06,C0056,P009,99,4.79,474.21,Representante Comercial,Eduarda Melo,MG
PV006553,2024-08-06,C0017,P014,118,3.81,449.58,Televendas,Eduarda Melo,RS
PV001421,2024-08-06,C0168,P014,161,3.82,615.02,E-commerce B2B,Carlos Silva,PA
PV000149,2024-08-07,C0141,P012,100,15.3,1530.0,E-commerce B2B,Carlos Silva,PE
PV004084,2024-08-07,C0157,P020,121,3.91,473.11,E-commerce B2B,Bruno Lima,CE
PV003873,2024-08-07,C0045,P018,135,3.01,406.35,Televendas,Carlos Silva,GO
PV003576,2024-08-07,C0161,P013,47,5.0,235.0,Televendas,Eduarda Melo,AL
PV004149,2024-08-07,C0085,P001,115,22.06,2536.9,Televendas,Bruno Lima,AM
PV000383,2024-08-07,C0044,P003,48,8.24,395.52,Representante Comercial,Bruno Lima,DF
PV004840,2024-08-07,C0039,P019,22,4.11,90.42,E-commerce B2B,Carlos Silva,PA
PV003409,2024-08-07,C0062,P016,122,6.45,786.9,Representante Comercial,Carlos Silva,AL
PV003476,2024-08-07,C0106,P015,130,5.69,739.7,E-commerce B2B,Bruno Lima,PA
PV006099,2024-08-07,C0171,P001,133,23.07,3068.31,Key Account,Eduarda Melo,GO
PV006629,2024-08-08,C0057,P002,14,8.48,118.72,Representante Comercial,Ana Souza,GO
PV001615,2024-08-08,C0170,P018,91,2.85,259.35,E-commerce B2B,Bruno Lima,CE
PV002319,2024-08-08,C0056,P003,62,8.16,505.92,Representante Comercial,Bruno Lima,MG
PV005866,2024-08-08,C0088,P001,32,23.5,752.0,Key Account,Felipe Santos,MG
PV003227,2024-08-08,C0077,P016,24,6.61,158.64,Representante Comercial,Carlos Silva,PE
PV000616,2024-08-08,C0042,P004,99,8.3,821.7,Representante Comercial,Carlos Silva,RS
PV006839,2024-08-08,C0066,P015,100,5.46,546.0,E-commerce B2B,Carlos Silva,DF
PV000793,2024-08-08,C0142,P018,164,2.8,459.2,Televendas,Eduarda Melo,PA
PV002506,2024-08-08,C0165,P008,166,9.47,1572.02,Representante Comercial,Ana Souza,DF
PV000144,2024-08-08,C0159,P001,59,23.41,1381.19,Representante Comercial,Felipe Santos,RS
PV005288,2024-08-08,C0076,P016,119,7.02,835.38,Key Account,Daniela Rocha,SC
PV007119,2024-08-08,C0049,P014,96,3.71,356.16,Televendas,Daniela Rocha,CE
PV000116,2024-08-08,C0034,P005,123,4.0,492.0,Representante Comercial,Ana Souza,RJ
PV007118,2024-08-08,C0083,P002,129,8.39,1082.31,E-commerce B2B,Carlos Silva,MG
PV003607,2024-08-09,C0116,P002,139,8.41,1168.99,Televendas,Carlos Silva,GO
PV005919,2024-08-09,C0005,P014,22,3.68,80.96,E-commerce B2B,Ana Souza,PE
PV005758,2024-08-09,C0037,P006,174,4.35,756.9,E-commerce B2B,Ana Souza,AM
PV002692,2024-08-09,C0062,P004,158,8.76,1384.08,Televendas,Daniela Rocha,AL
PV004708,2024-08-09,C0023,P015,170,5.82,989.4,E-commerce B2B,Ana Souza,DF
PV006086,2024-08-09,C0140,P008,107,9.95,1064.65,E-commerce B2B,Daniela Rocha,GO
PV006196,2024-08-09,C0137,P020,124,4.07,504.68,Televendas,Bruno Lima,MT
PV006125,2024-08-09,C0086,P007,169,7.46,1260.74,E-commerce B2B,Felipe Santos,AL
PV003482,2024-08-09,C0008,P011,38,16.08,611.04,Televendas,Bruno Lima,PE
PV005478,2024-08-09,C0122,P012,111,14.91,1655.01,Representante Comercial,Daniela Rocha,BA
PV005624,2024-08-09,C0070,P001,14,22.82,319.48,Televendas,Bruno Lima,BA
PV001501,2024-08-09,C0057,P004,19,8.7,165.3,E-commerce B2B,Bruno Lima,GO
PV006252,2024-08-09,C0027,P011,171,16.1,2753.1,E-commerce B2B,Bruno Lima,DF
PV002729,2024-08-09,C0144,P014,176,3.85,677.6,E-commerce B2B,Ana Souza,PR
PV001592,2024-08-09,C0122,P011,111,16.14,1791.54,Key Account,Felipe Santos,BA
PV005046,2024-08-09,C0116,P011,63,17.58,1107.54,Televendas,Felipe Santos,GO
PV001440,2024-08-10,C0043,P017,35,3.27,114.45,Televendas,Bruno Lima,SC
PV000059,2024-08-10,C0093,P002,147,8.92,1311.24,Televendas,Felipe Santos,SP
PV002081,2024-08-10,C0005,P010,39,5.35,208.65,Representante Comercial,Carlos Silva,PE
PV005610,2024-08-10,C0090,P019,33,3.9,128.7,Representante Comercial,Bruno Lima,MG
PV001497,2024-08-10,C0157,P014,110,3.8,418.0,Key Account,Bruno Lima,CE
PV001182,2024-08-10,C0075,P014,168,3.76,631.68,Televendas,Ana Souza,MT
PV005983,2024-08-10,C0022,P018,139,2.99,415.61,E-commerce B2B,Felipe Santos,AL
PV006585,2024-08-11,C0127,P001,47,23.41,1100.27,Representante Comercial,Bruno Lima,PR
PV004375,2024-08-11,C0025,P017,35,3.14,109.9,Key Account,Bruno Lima,ES
PV006972,2024-08-11,C0157,P007,39,7.42,289.38,Representante Comercial,Carlos Silva,CE
PV004235,2024-08-11,C0162,P015,7,5.44,38.08,Representante Comercial,Carlos Silva,DF
PV006710,2024-08-11,C0031,P019,21,3.78,79.38,Representante Comercial,Daniela Rocha,BA
PV005728,2024-08-12,C0027,P013,95,4.84,459.8,E-commerce B2B,Felipe Santos,DF
PV001169,2024-08-12,C0097,P004,76,7.81,593.56,Representante Comercial,Ana Souza,SP
PV002942,2024-08-12,C0101,P005,161,4.26,685.86,Representante Comercial,Ana Souza,AM
PV006174,2024-08-12,C0142,P003,147,8.08,1187.76,Representante Comercial,Bruno Lima,PA
PV005991,2024-08-12,C0116,P020,109,3.87,421.83,E-commerce B2B,Daniela Rocha,GO
PV004329,2024-08-12,C0056,P016,122,6.5,793.0,Key Account,Daniela Rocha,MG
PV002623,2024-08-12,C0072,P006,78,4.44,346.32,Representante Comercial,Bruno Lima,BA
PV003057,2024-08-12,C0003,P017,70,3.29,230.3,Televendas,Eduarda Melo,ES
PV002006,2024-08-12,C0149,P015,162,5.81,941.22,E-commerce B2B,Daniela Rocha,ES
PV005364,2024-08-12,C0167,P011,133,17.64,2346.12,Representante Comercial,Carlos Silva,CE
PV000227,2024-08-13,C0106,P016,77,6.58,506.66,E-commerce B2B,Felipe Santos,PA
PV005731,2024-08-13,C0094,P008,168,9.51,1597.68,E-commerce B2B,Ana Souza,RS
PV004566,2024-08-13,C0163,P016,38,7.18,272.84,Televendas,Eduarda Melo,AM
PV000481,2024-08-13,C0096,P001,5,23.03,115.15,Representante Comercial,Ana Souza,SP
PV007149,2024-08-13,C0035,P014,176,3.75,660.0,E-commerce B2B,Daniela Rocha,CE
PV004205,2024-08-13,C0033,P010,87,5.27,458.49,Televendas,Ana Souza,CE
PV003396,2024-08-13,C0151,P014,79,4.0,316.0,E-commerce B2B,Eduarda Melo,CE
PV005163,2024-08-13,C0140,P004,33,8.14,268.62,Key Account,Felipe Santos,GO
PV003732,2024-08-13,C0056,P007,169,7.45,1259.05,E-commerce B2B,Felipe Santos,MG
PV007158,2024-08-13,C0138,P016,10,6.59,65.9,E-commerce B2B,Felipe Santos,PE
PV003998,2024-08-13,C0163,P018,138,2.9,400.2,Televendas,Eduarda Melo,AM
PV000803,2024-08-13,C0088,P005,112,4.4,492.8,Representante Comercial,Daniela Rocha,MG
PV000306,2024-08-14,C0121,P002,40,9.21,368.4,E-commerce B2B,Ana Souza,PR
PV005645,2024-08-14,C0040,P016,94,7.14,671.16,Televendas,Carlos Silva,MG
PV001014,2024-08-14,C0084,P004,102,7.95,810.9,Key Account,Carlos Silva,PR
PV005035,2024-08-14,C0014,P002,144,8.59,1236.96,Key Account,Bruno Lima,SC
PV000570,2024-08-14,C0035,P002,135,8.75,1181.25,E-commerce B2B,Daniela Rocha,CE
PV003742,2024-08-14,C0107,P010,37,5.38,199.06,Key Account,Felipe Santos,RS
PV002661,2024-08-14,C0020,P006,106,4.58,485.48,Key Account,Carlos Silva,SC
PV002010,2024-08-14,C0125,P013,97,4.66,452.02,Televendas,Felipe Santos,RJ
PV004900,2024-08-14,C0045,P004,72,8.56,616.32,Televendas,Felipe Santos,GO
PV003382,2024-08-14,C0044,P010,88,5.12,450.56,E-commerce B2B,Daniela Rocha,DF
PV006646,2024-08-14,C0008,P005,59,4.35,256.65,Televendas,Felipe Santos,PE
PV004642,2024-08-14,C0003,P010,85,5.38,457.3,Representante Comercial,Eduarda Melo,ES
PV004814,2024-08-14,C0038,P010,113,5.03,568.39,Representante Comercial,Ana Souza,MT
PV006215,2024-08-14,C0086,P014,82,4.02,329.64,Representante Comercial,Carlos Silva,AL
PV006600,2024-08-15,C0056,P015,20,5.87,117.4,E-commerce B2B,Bruno Lima,MG
PV001713,2024-08-15,C0142,P004,125,8.36,1045.0,Representante Comercial,Eduarda Melo,PA
PV003353,2024-08-15,C0088,P007,141,7.24,1020.84,Key Account,Eduarda Melo,MG
PV006106,2024-08-15,C0088,P010,19,5.09,96.71,Representante Comercial,Carlos Silva,MG
PV004198,2024-08-15,C0070,P001,75,22.42,1681.5,Televendas,Carlos Silva,BA
PV006338,2024-08-15,C0042,P001,66,21.96,1449.36,E-commerce B2B,Carlos Silva,RS
PV006090,2024-08-15,C0017,P013,112,5.07,567.84,Representante Comercial,Eduarda Melo,RS
PV000365,2024-08-15,C0083,P006,140,4.4,616.0,Representante Comercial,Carlos Silva,MG
PV003162,2024-08-15,C0109,P010,24,5.26,126.24,E-commerce B2B,Daniela Rocha,MT
PV006765,2024-08-15,C0125,P008,54,10.43,563.22,Key Account,Daniela Rocha,RJ
PV006369,2024-08-15,C0039,P015,161,5.6,901.6,Televendas,Daniela Rocha,PA
PV002957,2024-08-16,C0157,P014,19,3.75,71.25,Televendas,Eduarda Melo,CE
PV001909,2024-08-16,C0033,P004,51,8.52,434.52,Representante Comercial,Eduarda Melo,CE
PV002372,2024-08-16,C0101,P010,78,5.36,418.08,E-commerce B2B,Ana Souza,AM
PV002848,2024-08-16,C0157,P010,165,4.91,810.15,Televendas,Bruno Lima,CE
PV006200,2024-08-16,C0031,P002,89,8.63,768.07,E-commerce B2B,Carlos Silva,BA
PV002697,2024-08-16,C0115,P016,82,6.81,558.42,Representante Comercial,Bruno Lima,MG
PV002603,2024-08-16,C0168,P010,62,4.98,308.76,Televendas,Carlos Silva,PA
PV004012,2024-08-16,C0113,P010,58,5.11,296.38,Key Account,Felipe Santos,PE
PV005689,2024-08-16,C0056,P002,20,8.6,172.0,Key Account,Ana Souza,MG
PV001324,2024-08-16,C0164,P014,79,3.75,296.25,E-commerce B2B,Felipe Santos,ES
PV001240,2024-08-17,C0068,P014,133,3.82,508.06,Key Account,Felipe Santos,CE
PV005959,2024-08-17,C0070,P015,24,5.73,137.52,Representante Comercial,Eduarda Melo,BA
PV000179,2024-08-17,C0066,P006,148,4.63,685.24,Televendas,Daniela Rocha,DF
PV002913,2024-08-17,C0062,P014,43,3.75,161.25,Representante Comercial,Eduarda Melo,AL
PV002408,2024-08-17,C0121,P017,107,3.32,355.24,Key Account,Felipe Santos,PR
PV004069,2024-08-17,C0088,P015,66,5.34,352.44,Representante Comercial,Eduarda Melo,MG
PV004505,2024-08-17,C0127,P004,128,7.88,1008.64,Televendas,Eduarda Melo,PR
PV004983,2024-08-17,C0068,P018,155,3.06,474.3,E-commerce B2B,Felipe Santos,CE
PV006236,2024-08-17,C0121,P011,98,17.2,1685.6,E-commerce B2B,Ana Souza,PR
PV004630,2024-08-17,C0086,P005,170,4.14,703.8,Representante Comercial,Ana Souza,AL
PV000173,2024-08-17,C0050,P003,7,7.71,53.97,Televendas,Carlos Silva,SC
PV000514,2024-08-18,C0099,P004,51,7.84,399.84,Televendas,Ana Souza,SC
PV001894,2024-08-18,C0017,P012,8,15.04,120.32,Key Account,Bruno Lima,RS
PV005204,2024-08-18,C0086,P020,148,4.16,615.68,E-commerce B2B,Carlos Silva,AL
PV001275,2024-08-19,C0120,P017,152,3.31,503.12,Representante Comercial,Bruno Lima,MT
PV000986,2024-08-19,C0019,P011,51,16.76,854.76,Televendas,Ana Souza,BA
PV000792,2024-08-19,C0156,P013,76,4.88,370.88,Representante Comercial,Carlos Silva,RS
PV002543,2024-08-19,C0090,P019,85,3.71,315.35,Key Account,Carlos Silva,MG
PV006970,2024-08-19,C0165,P010,166,5.3,879.8,Televendas,Eduarda Melo,DF
PV005942,2024-08-19,C0052,P014,161,3.97,639.17,Representante Comercial,Felipe Santos,BA
PV000761,2024-08-19,C0010,P017,85,3.39,288.15,Televendas,Eduarda Melo,MT
PV000352,2024-08-19,C0087,P010,93,5.1,474.3,Representante Comercial,Ana Souza,PA
PV001395,2024-08-19,C0008,P007,177,7.64,1352.28,E-commerce B2B,Bruno Lima,PE
PV000748,2024-08-19,C0161,P008,116,10.39,1205.24,Key Account,Bruno Lima,AL
PV004469,2024-08-19,C0078,P014,61,3.9,237.9,Televendas,Ana Souza,SC
PV000875,2024-08-19,C0111,P015,79,5.33,421.07,E-commerce B2B,Carlos Silva,AM
PV003647,2024-08-20,C0014,P020,171,4.22,721.62,Representante Comercial,Felipe Santos,SC
PV001731,2024-08-20,C0157,P004,47,8.49,399.03,Representante Comercial,Bruno Lima,CE
PV000637,2024-08-20,C0081,P019,100,4.08,408.0,Televendas,Eduarda Melo,SC
PV004576,2024-08-20,C0096,P004,17,8.25,140.25,E-commerce B2B,Bruno Lima,SP
PV003879,2024-08-20,C0126,P017,26,3.22,83.72,Televendas,Bruno Lima,RJ
PV003335,2024-08-20,C0073,P017,28,3.5,98.0,Televendas,Carlos Silva,PE
PV003165,2024-08-20,C0086,P005,136,4.21,572.56,Televendas,Daniela Rocha,AL
PV004696,2024-08-20,C0040,P016,6,6.52,39.12,Televendas,Bruno Lima,MG
PV006929,2024-08-20,C0081,P014,86,3.86,331.96,E-commerce B2B,Eduarda Melo,SC
PV001954,2024-08-20,C0062,P004,94,7.96,748.24,Representante Comercial,Ana Souza,AL
PV005564,2024-08-20,C0131,P018,138,3.06,422.28,Representante Comercial,Daniela Rocha,SC
PV006780,2024-08-21,C0036,P002,154,8.51,1310.54,Televendas,Eduarda Melo,AM
PV001135,2024-08-21,C0096,P008,81,9.58,775.98,Televendas,Felipe Santos,SP
PV001101,2024-08-21,C0039,P019,66,4.08,269.28,Key Account,Carlos Silva,PA
PV002630,2024-08-21,C0062,P014,39,3.63,141.57,Representante Comercial,Ana Souza,AL
PV002117,2024-08-21,C0146,P014,116,3.99,462.84,Televendas,Carlos Silva,RJ
PV004495,2024-08-21,C0148,P017,76,3.27,248.52,Representante Comercial,Carlos Silva,MT
PV004803,2024-08-21,C0056,P018,91,2.78,252.98,Televendas,Ana Souza,MG
PV004937,2024-08-21,C0144,P015,165,5.78,953.7,Representante Comercial,Bruno Lima,PR
PV000489,2024-08-21,C0046,P020,19,3.88,73.72,Representante Comercial,Eduarda Melo,AM
PV005271,2024-08-21,C0088,P008,122,9.64,1176.08,Representante Comercial,Daniela Rocha,MG
PV004565,2024-08-21,C0062,P003,94,8.2,770.8,E-commerce B2B,Ana Souza,AL
PV003034,2024-08-21,C0174,P008,100,9.98,998.0,Representante Comercial,Bruno Lima,PA
PV004254,2024-08-21,C0099,P004,160,8.52,1363.2,Representante Comercial,Felipe Santos,SC
PV001813,2024-08-21,C0013,P014,154,3.65,562.1,Representante Comercial,Eduarda Melo,AL
PV004981,2024-08-22,C0157,P004,66,8.79,580.14,E-commerce B2B,Bruno Lima,CE
PV002460,2024-08-22,C0156,P014,155,3.58,554.9,Televendas,Eduarda Melo,RS
PV003938,2024-08-22,C0077,P017,80,3.42,273.6,E-commerce B2B,Daniela Rocha,PE
PV001994,2024-08-22,C0114,P014,10,3.68,36.8,Representante Comercial,Daniela Rocha,BA
PV002440,2024-08-22,C0135,P005,35,4.3,150.5,E-commerce B2B,Carlos Silva,BA
PV006169,2024-08-22,C0106,P004,99,8.38,829.62,Representante Comercial,Ana Souza,PA
PV006603,2024-08-22,C0117,P014,58,3.91,226.78,Key Account,Bruno Lima,SP
PV003639,2024-08-22,C0158,P013,79,4.66,368.14,Representante Comercial,Bruno Lima,PE
PV002618,2024-08-22,C0106,P005,121,4.24,513.04,E-commerce B2B,Eduarda Melo,PA
PV001724,2024-08-22,C0149,P005,102,4.32,440.64,Key Account,Eduarda Melo,ES
PV001455,2024-08-22,C0062,P014,27,3.78,102.06,Key Account,Bruno Lima,AL
PV007029,2024-08-22,C0005,P017,33,3.19,105.27,Televendas,Ana Souza,PE
PV006744,2024-08-22,C0018,P001,164,21.52,3529.28,Representante Comercial,Eduarda Melo,RJ
PV001646,2024-08-22,C0056,P016,27,7.15,193.05,E-commerce B2B,Carlos Silva,MG
PV004177,2024-08-22,C0056,P003,16,8.24,131.84,E-commerce B2B,Carlos Silva,MG
PV002820,2024-08-23,C0106,P001,128,22.51,2881.28,Representante Comercial,Eduarda Melo,PA
PV005509,2024-08-23,C0096,P002,25,8.79,219.75,E-commerce B2B,Carlos Silva,SP
PV004080,2024-08-23,C0016,P007,20,7.89,157.8,Representante Comercial,Bruno Lima,PA
PV000802,2024-08-23,C0099,P001,24,23.45,562.8,Representante Comercial,Ana Souza,SC
PV007162,2024-08-23,C0024,P015,169,5.73,968.37,Representante Comercial,Daniela Rocha,MT
PV000478,2024-08-23,C0158,P013,129,4.78,616.62,Representante Comercial,Felipe Santos,PE
PV004553,2024-08-23,C0120,P014,77,3.97,305.69,Representante Comercial,Daniela Rocha,MT
PV003917,2024-08-23,C0156,P015,24,5.4,129.6,Televendas,Bruno Lima,RS
PV001789,2024-08-23,C0155,P014,65,3.87,251.55,E-commerce B2B,Bruno Lima,ES
PV001259,2024-08-23,C0151,P018,159,2.83,449.97,Representante Comercial,Felipe Santos,CE
PV001268,2024-08-23,C0157,P016,15,6.94,104.1,Televendas,Eduarda Melo,CE
PV006050,2024-08-24,C0024,P014,69,3.91,269.79,Key Account,Carlos Silva,MT
PV003828,2024-08-24,C0093,P015,23,5.37,123.51,Representante Comercial,Eduarda Melo,SP
PV006642,2024-08-24,C0058,P013,27,4.68,126.36,E-commerce B2B,Carlos Silva,PE
PV005034,2024-08-24,C0131,P014,136,3.8,516.8,Televendas,Eduarda Melo,SC
PV006558,2024-08-24,C0038,P013,170,4.88,829.6,Televendas,Carlos Silva,MT
PV007018,2024-08-24,C0067,P008,99,10.04,993.96,E-commerce B2B,Eduarda Melo,AM
PV003246,2024-08-24,C0049,P011,146,17.43,2544.78,Key Account,Carlos Silva,CE
PV005153,2024-08-24,C0008,P011,69,17.81,1228.89,Key Account,Bruno Lima,PE
PV002001,2024-08-24,C0157,P014,84,3.77,316.68,Key Account,Ana Souza,CE
PV003663,2024-08-24,C0062,P014,10,3.68,36.8,Representante Comercial,Daniela Rocha,AL
PV001364,2024-08-24,C0053,P006,65,4.31,280.15,Key Account,Bruno Lima,PR
PV004841,2024-08-24,C0077,P003,72,7.61,547.92,Representante Comercial,Daniela Rocha,PE
PV003943,2024-08-25,C0023,P001,156,21.27,3318.12,E-commerce B2B,Carlos Silva,DF
PV006204,2024-08-25,C0096,P008,81,10.43,844.83,Representante Comercial,Eduarda Melo,SP
PV003720,2024-08-25,C0001,P012,143,15.36,2196.48,Televendas,Ana Souza,RJ
PV007131,2024-08-25,C0142,P018,59,2.77,163.43,Key Account,Carlos Silva,PA
PV006951,2024-08-25,C0116,P008,154,9.77,1504.58,Key Account,Felipe Santos,GO
PV002749,2024-08-25,C0173,P002,83,8.78,728.74,Televendas,Eduarda Melo,BA
PV003072,2024-08-25,C0041,P003,36,7.49,269.64,Televendas,Ana Souza,AM
PV004610,2024-08-25,C0036,P013,33,4.72,155.76,Representante Comercial,Eduarda Melo,AM
PV003872,2024-08-25,C0055,P001,98,21.36,2093.28,Televendas,Felipe Santos,RJ
PV006785,2024-08-25,C0101,P012,112,15.07,1687.84,E-commerce B2B,Carlos Silva,AM
PV004555,2024-08-25,C0122,P006,55,4.49,246.95,Key Account,Daniela Rocha,BA
PV002045,2024-08-25,C0101,P017,161,3.47,558.67,Representante Comercial,Carlos Silva,AM
PV002073,2024-08-25,C0071,P004,121,7.89,954.69,Key Account,Felipe Santos,PR
PV005145,2024-08-25,C0097,P015,163,5.35,872.05,Televendas,Eduarda Melo,SP
PV006346,2024-08-25,C0029,P006,149,4.35,648.15,Representante Comercial,Ana Souza,PE
PV002141,2024-08-25,C0148,P010,117,5.03,588.51,Televendas,Eduarda Melo,MT
PV002897,2024-08-26,C0028,P003,8,7.96,63.68,Televendas,Ana Souza,BA
PV005738,2024-08-26,C0088,P019,47,3.77,177.19,E-commerce B2B,Carlos Silva,MG
PV006737,2024-08-26,C0057,P004,87,8.6,748.2,E-commerce B2B,Felipe Santos,GO
PV002954,2024-08-26,C0160,P005,71,4.04,286.84,E-commerce B2B,Carlos Silva,ES
PV005267,2024-08-26,C0122,P017,67,3.14,210.38,E-commerce B2B,Carlos Silva,BA
PV004440,2024-08-26,C0006,P017,35,3.42,119.7,Televendas,Daniela Rocha,PE
PV001216,2024-08-27,C0011,P001,89,23.66,2105.74,Key Account,Carlos Silva,MG
PV002173,2024-08-27,C0135,P019,107,3.94,421.58,Televendas,Eduarda Melo,BA
PV001042,2024-08-27,C0166,P011,151,16.59,2505.09,Key Account,Carlos Silva,MG
PV005550,2024-08-27,C0026,P015,10,5.36,53.6,Key Account,Eduarda Melo,MT
PV002515,2024-08-27,C0018,P007,113,7.42,838.46,Representante Comercial,Daniela Rocha,RJ
PV004939,2024-08-27,C0062,P002,160,8.5,1360.0,Representante Comercial,Ana Souza,AL
PV003314,2024-08-27,C0022,P013,60,4.84,290.4,E-commerce B2B,Felipe Santos,AL
PV002099,2024-08-27,C0060,P004,130,7.86,1021.8,Key Account,Eduarda Melo,AL
PV004251,2024-08-27,C0092,P014,46,3.73,171.58,Representante Comercial,Eduarda Melo,RJ
PV002532,2024-08-27,C0062,P007,81,7.19,582.39,Televendas,Eduarda Melo,AL
PV005020,2024-08-27,C0176,P014,140,3.81,533.4,Representante Comercial,Bruno Lima,PE
PV001511,2024-08-28,C0173,P011,131,17.25,2259.75,Key Account,Carlos Silva,BA
PV004330,2024-08-28,C0127,P020,94,3.99,375.06,Representante Comercial,Daniela Rocha,PR
PV001950,2024-08-28,C0045,P014,29,3.65,105.85,Representante Comercial,Eduarda Melo,GO
PV005381,2024-08-28,C0012,P005,161,4.14,666.54,Televendas,Eduarda Melo,RJ
PV002755,2024-08-28,C0056,P005,9,4.42,39.78,Televendas,Felipe Santos,MG
PV003333,2024-08-28,C0096,P010,139,5.27,732.53,Key Account,Ana Souza,SP
PV004651,2024-08-28,C0057,P013,79,4.81,379.99,Televendas,Ana Souza,GO
PV006066,2024-08-28,C0005,P014,22,3.74,82.28,Representante Comercial,Carlos Silva,PE
PV003622,2024-08-28,C0058,P010,176,5.46,960.96,E-commerce B2B,Bruno Lima,PE
PV005454,2024-08-28,C0081,P017,161,3.5,563.5,Key Account,Felipe Santos,SC
PV004516,2024-08-29,C0175,P014,112,3.57,399.84,Key Account,Bruno Lima,GO
PV005752,2024-08-29,C0022,P009,30,4.94,148.2,E-commerce B2B,Ana Souza,AL
